deLay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,polygon.started,polygon.stopped,polygon_2.started,key_resp.started,key_resp.keys,key_resp.rt,sound_1.started,sound_1.stopped,text.started,textbox.started,button.started,textbox.text,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate
0.1,400,unexp,0,10,10,0,84.7689367,85.7686269,85.7686269,85.7686269,space,0.8563505,86.75205872,87.2388388,87.2388388,87.2388388,87.2388388,600,11,"[6.817182699975092, 3.143667899945285, 4.750760700029787, 3.577181999979075, 3.723223099950701, 3.3756445999606512, 2.45114520000061, 2.0237693000235595, 2.9152677999809384, 2.8180047999485396, 5.929074199986644]","[6.817192699993029, 3.143675400002394, 4.750766200013459, 3.577191499993205, 3.7232301999465562, 3.3756495999987237, 2.4511495000333525, 2.0237775000277907, 2.915276499988977, 2.818012599949725, 5.929079100023955]",nahiiiii,1,2023-11-09_01h15.50.436,ISB,2022.2.5,60.08033944
0.4,400,unexp,0,11,11,1,93.1684386,94.173931,94.173931,94.173931,space,2.1782894,96.76914692,97.248479,97.248479,97.248479,97.248479,700,12,"[6.817182699975092, 3.143667899945285, 4.750760700029787, 3.577181999979075, 3.723223099950701, 3.3756445999606512, 2.45114520000061, 2.0237693000235595, 2.9152677999809384, 2.8180047999485396, 5.929074199986644, 3.051912299997639]","[6.817192699993029, 3.143675400002394, 4.750766200013459, 3.577191499993205, 3.7232301999465562, 3.3756495999987237, 2.4511495000333525, 2.0237775000277907, 2.915276499988977, 2.818012599949725, 5.929079100023955, 3.051919599995017]",nahiiiii,1,2023-11-09_01h15.50.436,ISB,2022.2.5,60.08033944
0.4,1000,exp,1,0,12,7,100.3020954,101.3023786,101.3023786,101.3023786,space,0.3102176,102.0354206,,102.5096993,102.5096993,102.5096993,500,13,"[6.817182699975092, 3.143667899945285, 4.750760700029787, 3.577181999979075, 3.723223099950701, 3.3756445999606512, 2.45114520000061, 2.0237693000235595, 2.9152677999809384, 2.8180047999485396, 5.929074199986644, 3.051912299997639, 3.201943600026425]","[6.817192699993029, 3.143675400002394, 4.750766200013459, 3.577191499993205, 3.7232301999465562, 3.3756495999987237, 2.4511495000333525, 2.0237775000277907, 2.915276499988977, 2.818012599949725, 5.929079100023955, 3.051919599995017, 3.201949500013143]",nahiiiii,1,2023-11-09_01h15.50.436,ISB,2022.2.5,60.08033944
0.7,1000,exp,1,1,13,8,105.7186121,106.7187594,106.7187594,106.7187594,space,1.2724524,108.7188049,109.2082053,109.2082053,109.2082053,109.2082053,400,14,"[6.817182699975092, 3.143667899945285, 4.750760700029787, 3.577181999979075, 3.723223099950701, 3.3756445999606512, 2.45114520000061, 2.0237693000235595, 2.9152677999809384, 2.8180047999485396, 5.929074199986644, 3.051912299997639, 3.201943600026425, 3.5581099999835715]","[6.817192699993029, 3.143675400002394, 4.750766200013459, 3.577191499993205, 3.7232301999465562, 3.3756495999987237, 2.4511495000333525, 2.0237775000277907, 2.915276499988977, 2.818012599949725, 5.929079100023955, 3.051919599995017, 3.201949500013143, 3.558115799969528]",nahiiiii,1,2023-11-09_01h15.50.436,ISB,2022.2.5,60.08033944
0.1,1000,exp,1,2,14,3,112.7688531,113.7688246,113.7688246,113.7688246,space,0.1697608,114.068999,,114.5523425,114.5523425,114.5523425,200,15,"[6.817182699975092, 3.143667899945285, 4.750760700029787, 3.577181999979075, 3.723223099950701, 3.3756445999606512, 2.45114520000061, 2.0237693000235595, 2.9152677999809384, 2.8180047999485396, 5.929074199986644, 3.051912299997639, 3.201943600026425, 3.5581099999835715, 1.8640120000345632]","[6.817192699993029, 3.143675400002394, 4.750766200013459, 3.577191499993205, 3.7232301999465562, 3.3756495999987237, 2.4511495000333525, 2.0237775000277907, 2.915276499988977, 2.818012599949725, 5.929079100023955, 3.051919599995017, 3.201949500013143, 3.558115799969528, 1.8640175000182353]",nahiiiii,1,2023-11-09_01h15.50.436,ISB,2022.2.5,60.08033944
0.7,1000,exp,1,3,15,5,116.418815,117.4187427,117.4187427,117.4187427,space,0.4530292,118.6022396,119.0872813,119.0872813,119.0872813,119.0872813,300,16,"[6.817182699975092, 3.143667899945285, 4.750760700029787, 3.577181999979075, 3.723223099950701, 3.3756445999606512, 2.45114520000061, 2.0237693000235595, 2.9152677999809384, 2.8180047999485396, 5.929074199986644, 3.051912299997639, 3.201943600026425, 3.5581099999835715, 1.8640120000345632, 1.6615209000301547]","[6.817192699993029, 3.143675400002394, 4.750766200013459, 3.577191499993205, 3.7232301999465562, 3.3756495999987237, 2.4511495000333525, 2.0237775000277907, 2.915276499988977, 2.818012599949725, 5.929079100023955, 3.051919599995017, 3.201949500013143, 3.558115799969528, 1.8640175000182353, 1.6615275000222027]",nahiiiii,1,2023-11-09_01h15.50.436,ISB,2022.2.5,60.08033944
0.4,1000,exp,1,4,16,4,120.7521279,121.7526536,121.7526536,121.7526536,space,2.5713778,124.7524249,,125.2390106,125.2390106,125.2390106,250,17,"[6.817182699975092, 3.143667899945285, 4.750760700029787, 3.577181999979075, 3.723223099950701, 3.3756445999606512, 2.45114520000061, 2.0237693000235595, 2.9152677999809384, 2.8180047999485396, 5.929074199986644, 3.051912299997639, 3.201943600026425, 3.5581099999835715, 1.8640120000345632, 1.6615209000301547, 7.728283000004012]","[6.817192699993029, 3.143675400002394, 4.750766200013459, 3.577191499993205, 3.7232301999465562, 3.3756495999987237, 2.4511495000333525, 2.0237775000277907, 2.915276499988977, 2.818012599949725, 5.929079100023955, 3.051919599995017, 3.201949500013143, 3.558115799969528, 1.8640175000182353, 1.6615275000222027, 7.728288699989207]",nahiiiii,1,2023-11-09_01h15.50.436,ISB,2022.2.5,60.08033944
0.7,1000,exp,1,5,17,11,132.9688602,133.9690567,133.9690567,133.9690567,space,0.9612098,135.6520822,,136.1330706,136.1330706,136.1330706,600,18,"[6.817182699975092, 3.143667899945285, 4.750760700029787, 3.577181999979075, 3.723223099950701, 3.3756445999606512, 2.45114520000061, 2.0237693000235595, 2.9152677999809384, 2.8180047999485396, 5.929074199986644, 3.051912299997639, 3.201943600026425, 3.5581099999835715, 1.8640120000345632, 1.6615209000301547, 7.728283000004012, 2.2842576000257395]","[6.817192699993029, 3.143675400002394, 4.750766200013459, 3.577191499993205, 3.7232301999465562, 3.3756495999987237, 2.4511495000333525, 2.0237775000277907, 2.915276499988977, 2.818012599949725, 5.929079100023955, 3.051919599995017, 3.201949500013143, 3.558115799969528, 1.8640175000182353, 1.6615275000222027, 7.728288699989207, 2.284263400011696]",nahiiiii,1,2023-11-09_01h15.50.436,ISB,2022.2.5,60.08033944
0.7,400,unexp,1,6,18,2,138.4187972,139.4189518,139.4189518,139.4189518,space,1.3985449,141.5356019,,142.0085493,142.0085493,142.0085493,800,19,"[6.817182699975092, 3.143667899945285, 4.750760700029787, 3.577181999979075, 3.723223099950701, 3.3756445999606512, 2.45114520000061, 2.0237693000235595, 2.9152677999809384, 2.8180047999485396, 5.929074199986644, 3.051912299997639, 3.201943600026425, 3.5581099999835715, 1.8640120000345632, 1.6615209000301547, 7.728283000004012, 2.2842576000257395, 2.6755254000308923]","[6.817192699993029, 3.143675400002394, 4.750766200013459, 3.577191499993205, 3.7232301999465562, 3.3756495999987237, 2.4511495000333525, 2.0237775000277907, 2.915276499988977, 2.818012599949725, 5.929079100023955, 3.051919599995017, 3.201949500013143, 3.558115799969528, 1.8640175000182353, 1.6615275000222027, 7.728288699989207, 2.284263400011696, 2.6755309000145644]",nahiiiii,1,2023-11-09_01h15.50.436,ISB,2022.2.5,60.08033944
0.4,400,unexp,1,7,19,1,144.685321,145.6855988,145.6855988,145.6855988,space,11.2884924,157.402182,157.8789678,157.8789678,157.8789678,157.8789678,900,20,"[6.817182699975092, 3.143667899945285, 4.750760700029787, 3.577181999979075, 3.723223099950701, 3.3756445999606512, 2.45114520000061, 2.0237693000235595, 2.9152677999809384, 2.8180047999485396, 5.929074199986644, 3.051912299997639, 3.201943600026425, 3.5581099999835715, 1.8640120000345632, 1.6615209000301547, 7.728283000004012, 2.2842576000257395, 2.6755254000308923, 8.385536200017668]","[6.817192699993029, 3.143675400002394, 4.750766200013459, 3.577191499993205, 3.7232301999465562, 3.3756495999987237, 2.4511495000333525, 2.0237775000277907, 2.915276499988977, 2.818012599949725, 5.929079100023955, 3.051919599995017, 3.201949500013143, 3.558115799969528, 1.8640175000182353, 1.6615275000222027, 7.728288699989207, 2.284263400011696, 2.6755309000145644, 8.385540499992203]",nahiiiii,1,2023-11-09_01h15.50.436,ISB,2022.2.5,60.08033944
0.1,1000,exp,1,8,20,9,166.2687711,167.2690086,167.2690086,167.2690086,space,5.1714103,172.5691928,,173.0535237,173.0535237,173.0535237,800,21,"[6.817182699975092, 3.143667899945285, 4.750760700029787, 3.577181999979075, 3.723223099950701, 3.3756445999606512, 2.45114520000061, 2.0237693000235595, 2.9152677999809384, 2.8180047999485396, 5.929074199986644, 3.051912299997639, 3.201943600026425, 3.5581099999835715, 1.8640120000345632, 1.6615209000301547, 7.728283000004012, 2.2842576000257395, 2.6755254000308923, 8.385536200017668, 3.863071400031913]","[6.817192699993029, 3.143675400002394, 4.750766200013459, 3.577191499993205, 3.7232301999465562, 3.3756495999987237, 2.4511495000333525, 2.0237775000277907, 2.915276499988977, 2.818012599949725, 5.929079100023955, 3.051919599995017, 3.201949500013143, 3.558115799969528, 1.8640175000182353, 1.6615275000222027, 7.728288699989207, 2.284263400011696, 2.6755309000145644, 8.385540499992203, 3.8630920000141487]",nahiiiii,1,2023-11-09_01h15.50.436,ISB,2022.2.5,60.08033944
0.1,1000,exp,1,9,21,6,176.9187808,177.9191485,177.9191485,177.9191485,space,1.9455728,179.9857649,,180.4598242,180.4598242,180.4598242,800,22,"[6.817182699975092, 3.143667899945285, 4.750760700029787, 3.577181999979075, 3.723223099950701, 3.3756445999606512, 2.45114520000061, 2.0237693000235595, 2.9152677999809384, 2.8180047999485396, 5.929074199986644, 3.051912299997639, 3.201943600026425, 3.5581099999835715, 1.8640120000345632, 1.6615209000301547, 7.728283000004012, 2.2842576000257395, 2.6755254000308923, 8.385536200017668, 3.863071400031913, 2.8043928999686614]","[6.817192699993029, 3.143675400002394, 4.750766200013459, 3.577191499993205, 3.7232301999465562, 3.3756495999987237, 2.4511495000333525, 2.0237775000277907, 2.915276499988977, 2.818012599949725, 5.929079100023955, 3.051919599995017, 3.201949500013143, 3.558115799969528, 1.8640175000182353, 1.6615275000222027, 7.728288699989207, 2.284263400011696, 2.6755309000145644, 8.385540499992203, 3.8630920000141487, 2.8043980000074953]",nahiiiii,1,2023-11-09_01h15.50.436,ISB,2022.2.5,60.08033944
0.1,400,unexp,1,10,22,0,183.2690359,184.2691533,184.2691533,184.2691533,space,5.8492799,190.2353526,190.7174638,190.7174638,190.7174638,190.7174638,700,23,"[6.817182699975092, 3.143667899945285, 4.750760700029787, 3.577181999979075, 3.723223099950701, 3.3756445999606512, 2.45114520000061, 2.0237693000235595, 2.9152677999809384, 2.8180047999485396, 5.929074199986644, 3.051912299997639, 3.201943600026425, 3.5581099999835715, 1.8640120000345632, 1.6615209000301547, 7.728283000004012, 2.2842576000257395, 2.6755254000308923, 8.385536200017668, 3.863071400031913, 2.8043928999686614, 4.7981068000080995]","[6.817192699993029, 3.143675400002394, 4.750766200013459, 3.577191499993205, 3.7232301999465562, 3.3756495999987237, 2.4511495000333525, 2.0237775000277907, 2.915276499988977, 2.818012599949725, 5.929079100023955, 3.051919599995017, 3.201949500013143, 3.558115799969528, 1.8640175000182353, 1.6615275000222027, 7.728288699989207, 2.284263400011696, 2.6755309000145644, 8.385540499992203, 3.8630920000141487, 2.8043980000074953, 4.798112299991772]",nahiiiii,1,2023-11-09_01h15.50.436,ISB,2022.2.5,60.08033944
0.4,1000,exp,1,11,23,10,195.5188789,196.5188991,196.5188991,196.5188991,space,3.435603,200.3854194,200.8587448,200.8587448,200.8587448,200.8587448,600,24,"[6.817182699975092, 3.143667899945285, 4.750760700029787, 3.577181999979075, 3.723223099950701, 3.3756445999606512, 2.45114520000061, 2.0237693000235595, 2.9152677999809384, 2.8180047999485396, 5.929074199986644, 3.051912299997639, 3.201943600026425, 3.5581099999835715, 1.8640120000345632, 1.6615209000301547, 7.728283000004012, 2.2842576000257395, 2.6755254000308923, 8.385536200017668, 3.863071400031913, 2.8043928999686614, 4.7981068000080995, 5.50846670003375]","[6.817192699993029, 3.143675400002394, 4.750766200013459, 3.577191499993205, 3.7232301999465562, 3.3756495999987237, 2.4511495000333525, 2.0237775000277907, 2.915276499988977, 2.818012599949725, 5.929079100023955, 3.051919599995017, 3.201949500013143, 3.558115799969528, 1.8640175000182353, 1.6615275000222027, 7.728288699989207, 2.284263400011696, 2.6755309000145644, 8.385540499992203, 3.8630920000141487, 2.8043980000074953, 4.798112299991772, 5.508472900022753]",nahiiiii,1,2023-11-09_01h15.50.436,ISB,2022.2.5,60.08033944
0.1,1000,exp,2,0,24,3,206.3688039,207.3688365,207.3688365,207.3688365,space,3.3181151,210.8192344,,211.2973806,211.2973806,211.2973806,700,25,"[6.817182699975092, 3.143667899945285, 4.750760700029787, 3.577181999979075, 3.723223099950701, 3.3756445999606512, 2.45114520000061, 2.0237693000235595, 2.9152677999809384, 2.8180047999485396, 5.929074199986644, 3.051912299997639, 3.201943600026425, 3.5581099999835715, 1.8640120000345632, 1.6615209000301547, 7.728283000004012, 2.2842576000257395, 2.6755254000308923, 8.385536200017668, 3.863071400031913, 2.8043928999686614, 4.7981068000080995, 5.50846670003375, 4.618328400014434]","[6.817192699993029, 3.143675400002394, 4.750766200013459, 3.577191499993205, 3.7232301999465562, 3.3756495999987237, 2.4511495000333525, 2.0237775000277907, 2.915276499988977, 2.818012599949725, 5.929079100023955, 3.051919599995017, 3.201949500013143, 3.558115799969528, 1.8640175000182353, 1.6615275000222027, 7.728288699989207, 2.284263400011696, 2.6755309000145644, 8.385540499992203, 3.8630920000141487, 2.8043980000074953, 4.798112299991772, 5.508472900022753, 4.618334300001152]",nahiiiii,1,2023-11-09_01h15.50.436,ISB,2022.2.5,60.08033944
0.7,1000,exp,2,1,25,5,215.918742,216.9188302,216.9188302,216.9188302,space,1.782011,219.4193765,,219.9038749,219.9038749,219.9038749,900,26,"[6.817182699975092, 3.143667899945285, 4.750760700029787, 3.577181999979075, 3.723223099950701, 3.3756445999606512, 2.45114520000061, 2.0237693000235595, 2.9152677999809384, 2.8180047999485396, 5.929074199986644, 3.051912299997639, 3.201943600026425, 3.5581099999835715, 1.8640120000345632, 1.6615209000301547, 7.728283000004012, 2.2842576000257395, 2.6755254000308923, 8.385536200017668, 3.863071400031913, 2.8043928999686614, 4.7981068000080995, 5.50846670003375, 4.618328400014434, 4.961693499993999]","[6.817192699993029, 3.143675400002394, 4.750766200013459, 3.577191499993205, 3.7232301999465562, 3.3756495999987237, 2.4511495000333525, 2.0237775000277907, 2.915276499988977, 2.818012599949725, 5.929079100023955, 3.051919599995017, 3.201949500013143, 3.558115799969528, 1.8640175000182353, 1.6615275000222027, 7.728288699989207, 2.284263400011696, 2.6755309000145644, 8.385540499992203, 3.8630920000141487, 2.8043980000074953, 4.798112299991772, 5.508472900022753, 4.618334300001152, 4.961700199986808]",nahiiiii,1,2023-11-09_01h15.50.436,ISB,2022.2.5,60.08033944
0.1,1000,exp,2,2,26,6,224.8689939,225.8692626,225.8692626,225.8692626,space,2.5150794,228.502335,,228.9775143,228.9775143,228.9775143,600,27,"[6.817182699975092, 3.143667899945285, 4.750760700029787, 3.577181999979075, 3.723223099950701, 3.3756445999606512, 2.45114520000061, 2.0237693000235595, 2.9152677999809384, 2.8180047999485396, 5.929074199986644, 3.051912299997639, 3.201943600026425, 3.5581099999835715, 1.8640120000345632, 1.6615209000301547, 7.728283000004012, 2.2842576000257395, 2.6755254000308923, 8.385536200017668, 3.863071400031913, 2.8043928999686614, 4.7981068000080995, 5.50846670003375, 4.618328400014434, 4.961693499993999, 3.9213504000217654]","[6.817192699993029, 3.143675400002394, 4.750766200013459, 3.577191499993205, 3.7232301999465562, 3.3756495999987237, 2.4511495000333525, 2.0237775000277907, 2.915276499988977, 2.818012599949725, 5.929079100023955, 3.051919599995017, 3.201949500013143, 3.558115799969528, 1.8640175000182353, 1.6615275000222027, 7.728288699989207, 2.284263400011696, 2.6755309000145644, 8.385540499992203, 3.8630920000141487, 2.8043980000074953, 4.798112299991772, 5.508472900022753, 4.618334300001152, 4.961700199986808, 3.9213540999917313]",nahiiiii,1,2023-11-09_01h15.50.436,ISB,2022.2.5,60.08033944
0.4,1000,exp,2,3,27,4,232.9022207,233.902268,233.902268,233.902268,space,3.168286,237.5023,237.9869493,237.9869493,237.9869493,237.9869493,700,28,"[6.817182699975092, 3.143667899945285, 4.750760700029787, 3.577181999979075, 3.723223099950701, 3.3756445999606512, 2.45114520000061, 2.0237693000235595, 2.9152677999809384, 2.8180047999485396, 5.929074199986644, 3.051912299997639, 3.201943600026425, 3.5581099999835715, 1.8640120000345632, 1.6615209000301547, 7.728283000004012, 2.2842576000257395, 2.6755254000308923, 8.385536200017668, 3.863071400031913, 2.8043928999686614, 4.7981068000080995, 5.50846670003375, 4.618328400014434, 4.961693499993999, 3.9213504000217654, 4.246808199968655]","[6.817192699993029, 3.143675400002394, 4.750766200013459, 3.577191499993205, 3.7232301999465562, 3.3756495999987237, 2.4511495000333525, 2.0237775000277907, 2.915276499988977, 2.818012599949725, 5.929079100023955, 3.051919599995017, 3.201949500013143, 3.558115799969528, 1.8640175000182353, 1.6615275000222027, 7.728288699989207, 2.284263400011696, 2.6755309000145644, 8.385540499992203, 3.8630920000141487, 2.8043980000074953, 4.798112299991772, 5.508472900022753, 4.618334300001152, 4.961700199986808, 3.9213540999917313, 4.246816899976693]",nahiiiii,1,2023-11-09_01h15.50.436,ISB,2022.2.5,60.08033944
0.1,400,unexp,2,4,28,0,242.2358756,243.2356123,243.2356123,243.2356123,space,2.1609864,245.51906,,246.0065328,246.0065328,246.0065328,600,29,"[6.817182699975092, 3.143667899945285, 4.750760700029787, 3.577181999979075, 3.723223099950701, 3.3756445999606512, 2.45114520000061, 2.0237693000235595, 2.9152677999809384, 2.8180047999485396, 5.929074199986644, 3.051912299997639, 3.201943600026425, 3.5581099999835715, 1.8640120000345632, 1.6615209000301547, 7.728283000004012, 2.2842576000257395, 2.6755254000308923, 8.385536200017668, 3.863071400031913, 2.8043928999686614, 4.7981068000080995, 5.50846670003375, 4.618328400014434, 4.961693499993999, 3.9213504000217654, 4.246808199968655, 4.475626000028569]","[6.817192699993029, 3.143675400002394, 4.750766200013459, 3.577191499993205, 3.7232301999465562, 3.3756495999987237, 2.4511495000333525, 2.0237775000277907, 2.915276499988977, 2.818012599949725, 5.929079100023955, 3.051919599995017, 3.201949500013143, 3.558115799969528, 1.8640175000182353, 1.6615275000222027, 7.728288699989207, 2.284263400011696, 2.6755309000145644, 8.385540499992203, 3.8630920000141487, 2.8043980000074953, 4.798112299991772, 5.508472900022753, 4.618334300001152, 4.961700199986808, 3.9213540999917313, 4.246816899976693, 4.475631300010718]",nahiiiii,1,2023-11-09_01h15.50.436,ISB,2022.2.5,60.08033944
0.7,400,unexp,2,5,29,2,250.4857445,251.4857465,251.4857465,251.4857465,space,4.7750042,256.985723,257.4594407,257.4594407,257.4594407,257.4594407,900,30,"[6.817182699975092, 3.143667899945285, 4.750760700029787, 3.577181999979075, 3.723223099950701, 3.3756445999606512, 2.45114520000061, 2.0237693000235595, 2.9152677999809384, 2.8180047999485396, 5.929074199986644, 3.051912299997639, 3.201943600026425, 3.5581099999835715, 1.8640120000345632, 1.6615209000301547, 7.728283000004012, 2.2842576000257395, 2.6755254000308923, 8.385536200017668, 3.863071400031913, 2.8043928999686614, 4.7981068000080995, 5.50846670003375, 4.618328400014434, 4.961693499993999, 3.9213504000217654, 4.246808199968655, 4.475626000028569, 4.039820200006943]","[6.817192699993029, 3.143675400002394, 4.750766200013459, 3.577191499993205, 3.7232301999465562, 3.3756495999987237, 2.4511495000333525, 2.0237775000277907, 2.915276499988977, 2.818012599949725, 5.929079100023955, 3.051919599995017, 3.201949500013143, 3.558115799969528, 1.8640175000182353, 1.6615275000222027, 7.728288699989207, 2.284263400011696, 2.6755309000145644, 8.385540499992203, 3.8630920000141487, 2.8043980000074953, 4.798112299991772, 5.508472900022753, 4.618334300001152, 4.961700199986808, 3.9213540999917313, 4.246816899976693, 4.475631300010718, 4.039824899984524]",nahiiiii,1,2023-11-09_01h15.50.436,ISB,2022.2.5,60.08033944
0.7,1000,exp,2,6,30,11,261.502609,262.5026716,262.5026716,262.5026716,space,2.9315565,266.1525055,266.6377528,266.6377528,266.6377528,266.6377528,900,31,"[6.817182699975092, 3.143667899945285, 4.750760700029787, 3.577181999979075, 3.723223099950701, 3.3756445999606512, 2.45114520000061, 2.0237693000235595, 2.9152677999809384, 2.8180047999485396, 5.929074199986644, 3.051912299997639, 3.201943600026425, 3.5581099999835715, 1.8640120000345632, 1.6615209000301547, 7.728283000004012, 2.2842576000257395, 2.6755254000308923, 8.385536200017668, 3.863071400031913, 2.8043928999686614, 4.7981068000080995, 5.50846670003375, 4.618328400014434, 4.961693499993999, 3.9213504000217654, 4.246808199968655, 4.475626000028569, 4.039820200006943, 3.1110553999897093]","[6.817192699993029, 3.143675400002394, 4.750766200013459, 3.577191499993205, 3.7232301999465562, 3.3756495999987237, 2.4511495000333525, 2.0237775000277907, 2.915276499988977, 2.818012599949725, 5.929079100023955, 3.051919599995017, 3.201949500013143, 3.558115799969528, 1.8640175000182353, 1.6615275000222027, 7.728288699989207, 2.284263400011696, 2.6755309000145644, 8.385540499992203, 3.8630920000141487, 2.8043980000074953, 4.798112299991772, 5.508472900022753, 4.618334300001152, 4.961700199986808, 3.9213540999917313, 4.246816899976693, 4.475631300010718, 4.039824899984524, 3.1110611999756657]",nahiiiii,1,2023-11-09_01h15.50.436,ISB,2022.2.5,60.08033944
